id,url,header,endereço,area,comodos,banheiros,garagens,extras,preço,condomínio,Bairro,Retirado em
2511747991,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-238m2-venda-RS8000000-id-2511747991/,"Apartamento com 2 Quartos à Venda, 238m²","Avenida Epitácio Pessoa, 0 - Lagoa, Rio de Janeiro - RJ",238,2 Quartos,4 Banheiros,3 Vagas,"Piscina
Elevador
Condomínio fechado
Salão de festas",R$ 8.000.000,R$ 5.118,Lagoa,2021-04-14 11:14
2475107636,https://www.vivareal.com.br/imovel/apartamento-4-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-173m2-venda-RS3100000-id-2475107636/,"Apartamento com 4 Quartos à Venda, 173m²","Lagoa, Rio de Janeiro - RJ",173,4 Quartos,3 Banheiros,2 Vagas,"Varanda
Elevador
Área de serviço
Cozinha
Interfone",R$ 3.100.000,R$ 2.100,Lagoa,2021-04-14 11:14
2511191568,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-72m2-venda-RS1080000-id-2511191568/,"Apartamento com 2 Quartos à Venda, 72m²","Avenida Epitácio Pessoa - Lagoa, Rio de Janeiro - RJ",72,2 Quartos,2 Banheiros,1 Vaga,"Piscina
Playground
Espaço verde / Parque
Salão de festas
Quadra poliesportiva",R$ 1.080.000,R$ 1.000,Lagoa,2021-04-14 11:14
https://www.vivareal.com.br/imoveis-lancamento/today-2494251189,https://www.vivareal.com.br/imoveis-lancamento/today-2494251189/,Today,"Estrada do Bananal, 655 - Freguesia- Jacarepaguá, Rio de Janeiro - RJ",69-184,2-3 Quartos,2-3 Banheiros,1-2 Vagas,,Sob Consulta,,Lagoa,2021-04-14 11:14
2512892518,https://www.vivareal.com.br/imovel/apartamento-1-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-60m2-venda-RS1150000-id-2512892518/,"Apartamento com Quarto à Venda, 60m²","Rua Professor Saldanha - Lagoa, Rio de Janeiro - RJ",60,1 Quarto,1 Banheiro,1 Vaga,"Piscina
Elevador
Quintal
Playground
Área de serviço",R$ 1.150.000,R$ 1.378,Lagoa,2021-04-14 11:14
2515940871,https://www.vivareal.com.br/imovel/apartamento-3-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-270m2-venda-RS4500000-id-2515940871/,"Apartamento com 3 Quartos à Venda, 270m²","Lagoa, Rio de Janeiro - RJ",270,3 Quartos,4 Banheiros,3 Vagas,Interfone,R$ 4.500.000,R$ 2.000,Lagoa,2021-04-14 11:14
2514742299,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-125m2-venda-RS1799000-id-2514742299/,"Apartamento com 2 Quartos à Venda, 125m²","Lagoa, Rio de Janeiro - RJ",125,2 Quartos,2 Banheiros,1 Vaga,Interfone,R$ 1.799.000,R$ 1.490,Lagoa,2021-04-14 11:14
2266115577,https://www.vivareal.com.br/imovel/apartamento-3-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-101m2-venda-RS1650000-id-2266115577/,"Apartamento com 3 Quartos à Venda, 101m²","Avenida Lineu de Paula Machado - Lagoa, Rio de Janeiro - RJ",101,3 Quartos,2 Banheiros,1 Vaga,"Elevador
Área de serviço
Jardim
Armário embutido
Vigia",R$ 1.650.000,R$ 1.890,Lagoa,2021-04-14 11:14
2513844707,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-107m2-venda-RS1790000-id-2513844707/,"Apartamento com 2 Quartos à Venda, 107m²","Rua Presidente Alfonso López - Lagoa, Rio de Janeiro - RJ",107,2 Quartos,3 Banheiros,2 Vagas,"Piscina
Varanda
Mobiliado
Churrasqueira
Elevador",R$ 1.790.000,R$ 1.500,Lagoa,2021-04-14 11:14
2515992552,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-130m2-venda-RS2250000-id-2515992552/,"Apartamento com 2 Quartos à Venda, 130m²","Lagoa, Rio de Janeiro - RJ",130,2 Quartos,3 Banheiros,1 Vaga,"Elevador
Interfone",R$ 2.250.000,R$ 1.600,Lagoa,2021-04-14 11:14
